rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
45,about,i,2427703,2444.76,0.02,0.01,350741,0.98,360952,299486,409194,484896,248131,235278,231251,158515,2904.96,2328.58,3194.97,3844.24,2097.08,1865.94,1899.52,1323.27
46,their,a,2417058,2434.04,0.03,0.00,352482,0.97,357119,354286,100704,252332,253044,346870,321779,430924,2874.11,2754.66,786.29,2000.48,2138.60,2750.95,2643.12,3597.31
49,would,v,2349400,2365.91,0.03,0.00,326647,0.98,363538,321852,285080,345640,366729,231625,247188,187748,2925.77,2502.48,2225.89,2740.23,3099.41,1836.97,2030.43,1567.30
53,think,v,2077762,2092.36,0.03,0.01,279321,0.96,277523,212045,481246,538936,262491,125111,127956,52454,2233.52,1648.70,3757.55,4272.67,2218.44,992.23,1051.04,437.88
55,there,e,1980173,1994.09,0.36,0.00,333241,0.98,277871,253845,277096,424023,215316,190643,191696,149683,2236.32,1973.71,2163.55,3361.64,1819.74,1511.95,1574.61,1249.54
71,which,d,1613281,1624.62,0.04,0.00,331057,0.97,230112,288578,65382,168335,127167,234786,196270,302651,1851.95,2243.76,510.50,1334.56,1074.75,1862.03,1612.18,2526.50
74,other,j,1539952,1550.77,0.04,0.00,313844,0.97,233514,248296,83919,172640,141838,208396,197661,253693,1879.33,1930.56,655.24,1368.69,1198.74,1652.74,1623.61,2117.81
75,could,v,1529795,1540.54,0.03,0.00,295499,0.98,172936,166121,247799,180303,333318,164533,152742,112043,1391.80,1291.63,1934.80,1429.44,2817.04,1304.87,1254.64,935.32
84,these,d,1223310,1231.91,0.19,0.00,273148,0.97,160350,169935,124537,206679,67159,153009,85779,255862,1290.51,1321.29,972.38,1638.55,567.59,1213.48,704.60,2135.91
86,thing,n,1202004,1210.45,0.03,0.01,255153,0.97,194000,160148,227123,250294,144340,100469,90114,35516,1561.32,1245.19,1773.37,1984.33,1219.89,796.80,740.20,296.48
94,first,m,1101803,1109.54,0.12,0.01,300695,0.98,137971,150482,105668,154995,109886,155150,165042,122609,1110.40,1170.03,825.05,1228.80,928.70,1230.46,1355.67,1023.53
104,those,d,964458,971.23,0.10,0.00,268925,0.98,153384,139756,95915,155263,81434,108932,107858,121916,1234.44,1086.64,748.90,1230.92,688.24,863.91,885.96,1017.74
109,there,r,932354,938.90,0.08,0.01,212783,0.97,92403,79922,262174,210219,140949,59906,64943,21838,743.66,621.41,2047.04,1666.61,1191.23,475.10,533.45,182.30
